id,name,branch,location
251,"Independent University, Bangladesh (IUB)",Electrical Engineering,Bangladesh
252,"Independent University, Bangladesh (IUB)",Civil Engineering,Bangladesh
253,American International University-Bangladesh (AIUB),Computer Science Engineering,Bangladesh
254,American International University-Bangladesh (AIUB),Computer Engineering,Bangladesh
255,American International University-Bangladesh (AIUB),Information Technology,Bangladesh
256,American International University-Bangladesh (AIUB),Electronics and Communications Engineering,Bangladesh
257,American International University-Bangladesh (AIUB),Mechanical Engineering,Bangladesh
258,American International University-Bangladesh (AIUB),Electrical Engineering,Bangladesh
259,American International University-Bangladesh (AIUB),Civil Engineering,Bangladesh
260,United International University (UIU),Computer Science Engineering,Bangladesh
261,United International University (UIU),Computer Engineering,Bangladesh
262,United International University (UIU),Information Technology,Bangladesh
263,United International University (UIU),Electronics and Communications Engineering,Bangladesh
264,United International University (UIU),Mechanical Engineering,Bangladesh
265,United International University (UIU),Electrical Engineering,Bangladesh
266,United International University (UIU),Civil Engineering,Bangladesh
267,Sonargaon University,Computer Science Engineering,Bangladesh
268,Sonargaon University,Computer Engineering,Bangladesh
269,Sonargaon University,Information Technology,Bangladesh
270,Sonargaon University,Electronics and Communications Engineering,Bangladesh
271,Sonargaon University,Mechanical Engineering,Bangladesh
272,Sonargaon University,Electrical Engineering,Bangladesh
273,Sonargaon University,Civil Engineering,Bangladesh
274,Bangladesh University,Computer Science Engineering,Bangladesh
275,Bangladesh University,Computer Engineering,Bangladesh
276,Bangladesh University,Information Technology,Bangladesh
277,Bangladesh University,Electronics and Communications Engineering,Bangladesh
278,Bangladesh University,Mechanical Engineering,Bangladesh
279,Bangladesh University,Electrical Engineering,Bangladesh
280,Bangladesh University,Civil Engineering,Bangladesh
281,Chulalongkorn University,Computer Science Engineering,Thailand
282,Chulalongkorn University,Computer Engineering,Thailand
283,Chulalongkorn University,Information Technology,Thailand
284,Chulalongkorn University,Electronics and Communications Engineering,Thailand
285,Chulalongkorn University,Mechanical Engineering,Thailand
286,Chulalongkorn University,Electrical Engineering,Thailand
287,Chulalongkorn University,Civil Engineering,Thailand
288,Mahidol University,Computer Science Engineering,Thailand
289,Mahidol University,Computer Engineering,Thailand
290,Mahidol University,Information Technology,Thailand
291,Mahidol University,Electronics and Communications Engineering,Thailand
292,Mahidol University,Mechanical Engineering,Thailand
293,Mahidol University,Electrical Engineering,Thailand
294,Mahidol University,Civil Engineering,Thailand
295,King Mongkut's University of Technology Thonburi,Computer Science Engineering,Thailand
296,King Mongkut's University of Technology Thonburi,Computer Engineering,Thailand
297,King Mongkut's University of Technology Thonburi,Information Technology,Thailand
298,King Mongkut's University of Technology Thonburi,Electronics and Communications Engineering,Thailand
299,King Mongkut's University of Technology Thonburi,Mechanical Engineering,Thailand
300,King Mongkut's University of Technology Thonburi,Electrical Engineering,Thailand
301,King Mongkut's University of Technology Thonburi,Civil Engineering,Thailand
302,Chiang Mai University,Computer Science Engineering,Thailand
303,Chiang Mai University,Computer Engineering,Thailand
304,Chiang Mai University,Information Technology,Thailand
